盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",2010-03-12
疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15
幽灵公主,"主演：松田洋治,石田百合子,田中裕子",1998-05-01
阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04
风之谷,"主演：岛本须美,永井一郎,坂本千夏",1992
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13
大话西游之月光宝盒,"主演：周星驰,莫文蔚,吴孟达",2014-10-24
放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16
V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2006-03-17
当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17
速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",2011-05-12
驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14
少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22
勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-24
闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23
神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-07-09
霸王别姬,"主演：张国荣,张丰毅,巩俐",1993-07-26
肖申克的救赎,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10
罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-09-02
这个杀手不太冷,"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994-09-14
泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
唐伯虎点秋香,"主演：周星驰,巩俐,郑佩佩",1993-07-01
乱世佳人,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15
魂断蓝桥,"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17
天空之城,"主演：寺田农,鹫尾真知子,龟山助清",1992-05-01
辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15
拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998-11-13
哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",2004-11-20
盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",2010-03-12
疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15
幽灵公主,"主演：松田洋治,石田百合子,田中裕子",1998-05-01
阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04
风之谷,"主演：岛本须美,永井一郎,坂本千夏",1992
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13
大话西游之月光宝盒,"主演：周星驰,莫文蔚,吴孟达",2014-10-24
放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16
V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2006-03-17
当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17
速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",2011-05-12
驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14
少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22
勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-24
闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23
神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-07-09
